env_name,seed,problem,n_candidates,method,selected_index,uses_truth,validation_gate_method,selected_true_return,regret_to_candidate_oracle,candidate_oracle_return,regret_to_full_pool_oracle,full_pool_oracle_return,selected_pred_mean,selected_pred_std,sample_over_mean,selected_action_ood_mass,selected_is_cem,calibration_beta
InvertedPendulum-v5,0,1,32,quantile_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,calibrated_pessimistic_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,validation_gated_bon,14,False,calibrated_pessimistic_bon,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,32,cem_mean_mpc,-1,False,,10.0,10.0,20.0,10.0,20.0,-73.99682484842155,44.67665944298837,23.62824237632659,0.45,1.0,4.0
InvertedPendulum-v5,0,1,96,random,57,False,,3.0,17.0,20.0,17.0,20.0,-91230.82557844858,3442.513612954671,7240.956135294939,0.15,0.0,4.0
InvertedPendulum-v5,0,1,96,oracle,14,True,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,mean_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,posterior_sample_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,thompson_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,ucb_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,pessimistic_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,quantile_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,calibrated_pessimistic_bon,14,False,,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,validation_gated_bon,14,False,calibrated_pessimistic_bon,20.0,0.0,20.0,0.0,20.0,-1705.009124374304,165.6816255312089,286.76199036067146,0.0,0.0,4.0
InvertedPendulum-v5,0,1,96,cem_mean_mpc,-1,False,,10.0,10.0,20.0,10.0,20.0,-73.99682484842155,44.67665944298837,21.540942039224156,0.45,1.0,4.0
InvertedPendulum-v5,0,2,8,random,6,False,,4.0,7.0,11.0,19.0,23.0,-115054.6155671491,3580.762071609828,6578.794724306514,0.0,0.0,4.0
